0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000
-0.004000, 0.000000, 0.104720
-0.004000, 0.000000, 0.401426
-0.004000, 0.000000, 0.593412
-0.005000, -0.001000, 0.733038
-0.007000, -0.003000, 0.994838
-0.007000, -0.002000, 1.169371
-0.007000, -0.002000, 1.361357
-0.007000, -0.002000, 1.570796
-0.007000, -0.005000, 1.745329
-0.006000, -0.007000, 1.954769
-0.006000, -0.005000, 2.146755
-0.007000, -0.004000, 2.338741
-0.006000, -0.005000, 2.530727
-0.006000, -0.005000, 2.740167
-0.007000, -0.005000, 2.967060
-0.011000, -0.005000, 3.176499
-0.011000, -0.005000, 3.368485
-0.011000, -0.005000, 3.595378
-0.013000, -0.006000, 3.769911
-0.013000, -0.006000, 3.996804
-0.013000, -0.007000, 4.188790
-0.013000, -0.007000, 4.398230
-0.013000, -0.004000, 4.607669
-0.013000, -0.004000, 4.764749
-0.013000, 0.000000, 4.974188
-0.013000, 0.001000, 5.166175
-0.014000, 0.001000, 5.375614
-0.014000, 0.002000, 5.567600
-0.015000, 0.002000, 5.777040
-0.015000, 0.002000, 5.969026
-0.013000, 0.002000, 6.195919
-0.010000, 0.002000, 0.209440
-0.010000, 0.002000, 0.226893
-0.011000, 0.002000, 0.593412
-0.017000, -0.006000, 1.308997
-0.016000, 0.010000, 1.553343
-0.015000, 0.007000, 1.780236
-0.012000, -0.001000, 2.059489
-0.012000, -0.001000, 2.164208
-0.012000, -0.001000, 2.199115
-0.013000, 0.000000, 2.321288
-0.012000, 0.000000, 2.443461
-0.023000, 0.009000, 2.495821
-0.062000, 0.034000, 2.652900
-0.113000, 0.059000, 2.687807
-0.234000, 0.118000, 2.722714
-0.355000, 0.172000, 2.687807
-0.388000, 0.188000, 2.687807
-0.454000, 0.219000, 2.705260
-0.494000, 0.237000, 2.705260
-0.498000, 0.239000, 2.705260
-0.511000, 0.246000, 2.705260
-0.527000, 0.254000, 2.775074
-0.532000, 0.256000, 2.949606
-0.534000, 0.256000, 3.159046
-0.533000, 0.256000, 3.403392
-0.531000, 0.257000, 3.595378
-0.531000, 0.257000, 3.804818
-0.532000, 0.256000, 3.926991
-0.532000, 0.257000, 4.118977
-0.529000, 0.262000, 4.328417
-0.527000, 0.268000, 4.555309
-0.527000, 0.270000, 4.764749
-0.527000, 0.267000, 4.956735
-0.527000, 0.268000, 5.183628
-0.527000, 0.269000, 5.375614
-0.527000, 0.268000, 5.602507
-0.525000, 0.267000, 5.829400
-0.523000, 0.266000, 6.021386
-0.520000, 0.266000, 6.195919
-0.519000, 0.266000, 0.122173
-0.517000, 0.266000, 0.314159
-0.516000, 0.266000, 0.541052
-0.515000, 0.266000, 0.750492
-0.515000, 0.266000, 0.907571
-0.518000, 0.261000, 1.117011
-0.519000, 0.259000, 1.274090
-0.519000, 0.256000, 1.500983
-0.520000, 0.258000, 1.692969
